date	mktret	bondret
19790731	0.014993	-0.0070605
19790831	0.064729	-0.0052515
19790928	0.001426	-0.009419
19791031	-0.072662	-0.080677
19791130	0.063604	0.0281485
19791231	0.028216	0.005771
19800131	0.065607	-0.0747645
19800229	0.001015	-0.058916
19800331	-0.120224	-0.0128185
19800430	0.052287	0.142742
19800530	0.06009	0.0445365
19800630	0.037714	0.039091
19800731	0.069438	-0.047477
19800829	0.023553	-0.0378705
19800930	0.029497	-0.030026
19801031	0.020094	-0.0283225
19801128	0.104952	0.0141535
19801231	-0.034409	0.036141
19810130	-0.040086	-0.011716
19810227	0.015521	-0.039635
19810331	0.046184	0.031774
19810430	-0.011268	-0.05287
19810529	0.01355	0.049837
19810630	-0.010243	-0.004761
19810731	-0.00308	-0.034095
19810831	-0.056279	-0.040682
19810930	-0.063773	-0.017465
19811030	0.060162	0.079122
19811130	0.045849	0.113675
19811231	-0.028096	-0.047237
19820129	-0.02621	-0.001025
19820226	-0.051126	0.018873
19820331	-0.010099	0.024665
19820430	0.043267	0.032416
19820528	-0.028212	0.006632
19820630	-0.023912	-0.021771
19820730	-0.020526	0.045258
19820831	0.119013	0.082304
19820930	0.016761	0.059265
19821029	0.118636	0.079355
19821130	0.051934	-0.011947
19821231	0.014516	0.031309
19830131	0.04185	-0.028511
19830228	0.030215	0.051293
19830331	0.03468	-0.00931
19830429	0.074188	0.034507
19830531	0.013225	-0.038327
19830630	0.037839	0.003204
19830729	-0.031568	-0.047866
19830831	0.003463	0.002665
19830930	0.016059	0.050744
19831031	-0.028074	-0.013853
19831130	0.029556	0.018419
19831230	-0.010464	-0.0045
19840131	-0.013023	0.024019
19840229	-0.039073	-0.017601
19840330	0.013389	-0.015465
19840430	0.002534	-0.007647
19840531	-0.052342	-0.053997
19840629	0.023385	0.013634
19840731	-0.020621	0.068646
19840831	0.112689	0.029078
19840928	0.000404	0.033218
19841031	-0.000074	0.058907
19841130	-0.010685	0.00999
19841231	0.023656	0.011144
19850131	0.085718	0.03964
19850228	0.016896	-0.050693
19850329	-0.001747	0.0297015
19850430	-0.002186	0.0195055
19850531	0.055775	0.095472
19850628	0.017091	0.014849
19850731	-0.000251	-0.0132325
19850830	-0.004795	0.0242265
19850930	-0.039826	0.001635
19851031	0.044441	0.0335495
19851129	0.069228	0.0412185
19851231	0.043061	0.061739
19860131	0.009829	0.0029085
19860228	0.0725	0.1096235
19860331	0.053885	0.1001165
19860430	-0.007903	0.0002885
19860530	0.050844	-0.053733
19860630	0.014246	0.0654045
19860731	-0.0597	-0.011424
19860829	0.066181	0.039284
19860930	-0.079021	-0.037505
19861031	0.049303	0.012557
19861128	0.015093	0.0166775
19861231	-0.026388	-0.002357
19870130	0.128496	0.013728
19870227	0.047918	0.008835
19870331	0.023664	-0.0262815
19870430	-0.017001	-0.0560275
19870529	0.005125	-0.01382
19870630	0.043662	0.0185555
19870731	0.044248	-0.0253
19870831	0.037146	-0.022042
19870930	-0.020774	-0.048465
19871030	-0.225363	0.0814505
19871130	-0.072273	0.0000955
19871231	0.070327	0.022645
19880129	0.04488	0.0605025
19880229	0.051695	0.013516
19880331	-0.016598	-0.0359995
19880429	0.010991	-0.0215965
19880531	0.000448	-0.018313
19880630	0.051459	0.0478475
19880729	-0.007272	-0.025704
19880831	-0.028006	0.0018295
19880930	0.037202	0.04011
19881031	0.017646	0.033476
19881130	-0.016412	-0.0271195
19881230	0.021075	0.016282
19890131	0.066103	0.0240585
19890228	-0.016446	-0.0243305
19890331	0.021465	0.010788
19890428	0.048204	0.0268685
19890531	0.039338	0.038998
19890630	-0.004866	0.0641965
19890731	0.077131	0.021513
19890831	0.022127	-0.026736
19890929	-0.001474	0.001654
19891031	-0.029285	0.0436765
19891130	0.017814	0.0086395
19891229	0.018295	-0.003027
19900131	-0.070115	-0.0412515
19900228	0.014901	-0.004319
19900330	0.02414	-0.0024555
19900430	-0.028286	-0.028812
19900531	0.088934	0.0488955
19900629	-0.004196	0.0243635
